season,player_id,player,team,pos,g,mp,pts_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,fg_percent,x3p_percent,e_fg_percent,avg_dist_fga,percent_fga_from_x0_3_range,percent_fga_from_x3p_range,fg_percent_from_x3p_range,percent_assisted_x3p_fg,percent_dunks_of_fga,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,net_plus_minus_per_100_poss,points_generated_by_assists
2026,achiupr01,Precious Achiuwa,SAC,C,14,293,12.5,9.0,1.7,1.1,0.7,0.9,2.9,0.543,0.214,0.562,7.7,0.358,0.173,0.214,1.0,0.111,0.0,0.0,0.0,66.0,35.0,6.4,31
2026,adamsst01,Steven Adams,HOU,C,15,324,10.8,15.7,2.6,1.1,1.1,1.7,3.2,0.508,,0.508,2.1,0.692,0.0,,,0.138,0.0,0.0,0.0,0.0,100.0,9.8,52
2026,adebaba01,Bam Adebayo,MIA,C,14,425,22.4,10.1,3.0,1.1,0.9,2.2,1.7,0.455,0.343,0.515,13.7,0.16,0.35,0.343,1.0,0.08,0.0,0.0,0.0,23.0,77.0,8.5,83
2026,agbajoc01,Ochai Agbaji,TOR,SG,15,204,8.1,4.9,1.8,1.1,0.4,0.9,4.6,0.388,0.059,0.398,9.6,0.571,0.347,0.059,1.0,0.163,0.0,82.0,18.0,0.0,0.0,1.3,23
2026,aldamsa01,Santi Aldama,MEM,PF,21,548,18.5,9.1,4.1,1.3,1.1,1.5,1.7,0.472,0.333,0.539,13.8,0.225,0.403,0.333,1.0,0.017,0.0,0.0,7.0,87.0,6.0,-3.5,160
2026,alexani01,Nickeil Alexander-Walker,ATL,SG,19,621,22.1,3.7,4.1,1.0,1.0,2.5,2.4,0.462,0.376,0.552,15.0,0.272,0.477,0.376,0.9,0.007,55.0,41.0,4.0,0.0,0.0,0.5,168
2026,allengr01,Grayson Allen,PHO,SG,14,443,20.3,3.3,4.8,1.9,0.3,1.9,2.7,0.462,0.438,0.606,19.4,0.103,0.658,0.438,0.792,0.011,53.0,38.0,9.0,1.0,0.0,2.7,144
2026,allenja01,Jarrett Allen,CLE,C,15,392,19.7,10.5,2.5,1.4,1.2,2.2,2.0,0.573,0.0,0.573,5.1,0.378,0.028,0.0,,0.231,0.0,0.0,0.0,0.0,100.0,8.3,63
2026,alvarjo01,Jose Alvarado,NOP,PG,20,431,14.5,4.8,4.8,1.5,0.1,1.9,3.3,0.413,0.351,0.527,18.3,0.12,0.647,0.351,0.618,0.0,100.0,0.0,0.0,0.0,0.0,14.4,134
2026,antetgi01,Giannis Antetokounmpo,MIL,PF,15,461,36.2,12.8,7.7,1.2,1.2,4.0,3.2,0.643,0.455,0.661,5.9,0.661,0.079,0.455,0.8,0.264,0.0,0.0,0.0,73.0,27.0,22.2,273
2026,anthoco01,Cole Anthony,MIL,PG,20,350,16.4,6.1,9.3,1.5,0.7,4.5,4.9,0.425,0.255,0.463,14.0,0.131,0.294,0.255,0.583,0.013,99.0,1.0,0.0,0.0,0.0,-11.8,216
2026,anunoog01,OG Anunoby,NYK,PF,12,373,18.3,6.5,2.5,2.2,0.8,2.1,2.7,0.476,0.392,0.582,14.8,0.367,0.537,0.392,0.968,0.143,0.0,0.0,19.0,80.0,2.0,11.9,65
2026,avdijde01,Deni Avdija,POR,SF,20,682,27.2,7.4,6.1,0.6,0.7,3.7,3.3,0.476,0.378,0.552,13.4,0.271,0.402,0.378,0.882,0.03,0.0,26.0,65.0,9.0,0.0,11.5,293
2026,aytonde01,Deandre Ayton,LAL,C,17,501,19.5,10.5,1.1,0.9,1.4,2.7,3.3,0.71,,0.71,5.6,0.426,0.0,,,0.216,0.0,0.0,0.0,0.0,100.0,-1.6,38
2026,baglema01,Marvin Bagley III,WAS,PF,14,221,17.4,10.1,3.1,1.5,1.3,2.3,4.9,0.638,0.5,0.659,4.8,0.609,0.087,0.5,1.0,0.217,0.0,0.0,0.0,2.0,99.0,-2.0,46
2026,baileac01,Ace Bailey,UTA,SF,19,414,16.7,5.6,2.8,1.3,0.3,2.2,3.8,0.463,0.356,0.543,16.0,0.173,0.451,0.356,0.923,0.13,0.0,6.0,88.0,6.0,0.0,-7.7,81
2026,ballla01,LaMelo Ball,CHO,PG,13,385,23.7,7.6,10.3,1.5,0.1,4.1,4.1,0.379,0.281,0.448,17.0,0.147,0.491,0.281,0.75,0.004,79.0,21.0,0.0,0.0,0.0,6.3,267
2026,balllo01,Lonzo Ball,CLE,PG,16,377,9.0,6.7,7.8,1.5,0.5,3.0,2.9,0.304,0.282,0.422,22.7,0.088,0.833,0.282,0.75,0.01,52.0,47.0,1.0,0.0,0.0,-5.9,197
2026,banchpa01,Paolo Banchero,ORL,PF,12,393,23.8,9.5,4.5,0.8,1.0,2.9,2.7,0.461,0.25,0.492,12.1,0.247,0.247,0.25,0.909,0.062,0.0,0.0,0.0,98.0,2.0,-3.7,123
2026,banede01,Desmond Bane,ORL,SG,20,654,20.1,5.0,5.0,0.9,0.4,2.5,3.5,0.441,0.316,0.493,13.5,0.214,0.332,0.316,0.677,0.003,3.0,80.0,17.0,0.0,0.0,-2.9,219
2026,barlodo01,Dominick Barlow,PHI,PF,10,268,10.6,7.4,3.1,0.8,1.6,1.9,3.0,0.533,0.263,0.575,9.8,0.383,0.317,0.263,1.0,0.133,0.0,0.0,0.0,72.0,28.0,-0.3,57
2026,barneha02,Harrison Barnes,SAS,PF,19,583,14.5,3.8,2.5,1.3,0.2,1.5,2.0,0.497,0.424,0.624,17.0,0.152,0.6,0.424,0.952,0.024,0.0,0.0,10.0,86.0,4.0,-4.1,94
2026,barnesc01,Scottie Barnes,TOR,PF,21,701,21.5,8.6,5.3,1.5,1.7,2.5,3.4,0.513,0.414,0.559,10.7,0.325,0.223,0.414,0.897,0.086,0.0,0.0,0.0,79.0,22.0,2.4,243
2026,barrerj01,RJ Barrett,TOR,SF,17,526,22.5,5.6,4.4,1.0,0.3,1.8,3.1,0.506,0.356,0.572,11.9,0.346,0.367,0.356,0.968,0.055,0.0,58.0,38.0,4.0,0.0,-4.8,147
2026,batumni01,Nicolas Batum,LAC,PF,20,377,8.1,5.3,1.1,1.9,1.0,1.2,3.8,0.365,0.362,0.534,23.6,0.027,0.932,0.362,1.0,0.0,0.0,0.0,44.0,55.0,0.0,-6.1,29
2026,beysa01,Saddiq Bey,NOP,SF,20,566,16.9,7.6,2.9,1.3,0.1,0.8,1.5,0.44,0.373,0.535,15.5,0.194,0.509,0.373,0.927,0.023,0.0,0.0,24.0,76.0,0.0,-6.4,109
2026,bitadgo01,Goga Bitadze,ORL,C,19,318,13.5,11.1,3.1,1.5,2.5,1.2,4.6,0.719,0.286,0.734,5.2,0.641,0.109,0.286,1.0,0.344,0.0,0.0,0.0,0.0,100.0,6.9,61
2026,blackan01,Anthony Black,ORL,PG,20,548,17.1,3.9,3.7,2.0,0.8,2.8,3.4,0.477,0.343,0.538,12.3,0.307,0.352,0.343,0.875,0.131,57.0,43.0,1.0,0.0,0.0,0.0,132
2026,bogdabo01,Bogdan Bogdanović,LAC,SG,9,231,12.9,4.8,4.7,1.1,0.2,2.0,3.6,0.373,0.34,0.48,19.7,0.107,0.627,0.34,0.625,0.0,9.0,57.0,34.0,0.0,0.0,12.5,78
2026,bonaad01,Adem Bona,PHI,C,14,222,7.0,8.1,0.5,0.8,4.1,1.8,4.1,0.533,0.333,0.55,4.1,0.667,0.1,0.333,1.0,0.3,0.0,0.0,0.0,0.0,100.0,-5.3,6
2026,bookede01,Devin Booker,PHO,SG,21,753,25.8,4.4,6.9,1.0,0.4,3.9,3.0,0.455,0.311,0.504,15.5,0.13,0.317,0.311,0.711,0.013,10.0,62.0,28.0,1.0,0.0,-3.1,370
2026,bradlto01,Tony Bradley,IND,C,18,226,14.0,8.0,2.1,0.3,0.5,1.1,6.7,0.59,0.0,0.59,4.4,0.508,0.016,0.0,,0.066,0.0,0.0,2.0,7.0,91.0,-9.3,32
2026,braunch01,Christian Braun,DEN,SG,11,325,13.8,5.3,3.7,1.0,0.3,1.6,2.7,0.495,0.214,0.526,10.5,0.433,0.289,0.214,1.0,0.103,1.0,77.0,22.0,0.0,0.0,11.7,80
2026,bridgmi01,Mikal Bridges,NYK,SF,19,667,16.5,4.6,4.5,2.2,1.3,1.1,2.2,0.527,0.416,0.619,14.8,0.243,0.447,0.416,0.976,0.044,0.0,9.0,42.0,50.0,0.0,2.1,217
2026,bridgmi02,Miles Bridges,CHO,PF,20,705,22.9,6.4,3.7,0.7,0.6,1.5,2.0,0.432,0.339,0.511,14.8,0.19,0.469,0.339,0.911,0.051,0.0,0.0,4.0,95.0,1.0,-8.5,175
2026,brookdi01,Dillon Brooks,PHO,SF,15,469,24.8,3.7,2.0,2.0,0.2,2.6,4.2,0.451,0.322,0.523,17.0,0.101,0.447,0.322,0.784,0.008,0.0,1.0,13.0,85.0,2.0,-7.1,59
2026,brownbr01,Bruce Brown,DEN,SG,19,442,9.8,5.9,3.2,1.3,0.3,1.3,3.6,0.395,0.303,0.439,10.9,0.289,0.289,0.303,1.0,0.009,40.0,59.0,1.0,0.0,0.0,-9.6,92
2026,brownja02,Jaylen Brown,BOS,SF,20,662,30.8,6.7,5.2,1.3,0.4,3.9,3.5,0.49,0.347,0.537,14.2,0.162,0.274,0.347,0.561,0.021,0.0,10.0,78.0,12.0,0.0,-3.3,243
2026,brunsja01,Jalen Brunson,NYK,PG,17,585,29.8,3.5,6.5,0.7,0.1,2.5,2.5,0.478,0.37,0.543,14.8,0.158,0.353,0.37,0.596,0.0,100.0,0.0,0.0,0.0,0.0,10.4,265
2026,butleji01,Jimmy Butler,GSW,SF,19,602,23.0,6.5,5.9,1.9,0.3,1.6,1.4,0.527,0.436,0.565,9.1,0.335,0.174,0.436,0.647,0.067,0.0,12.0,43.0,44.0,0.0,15.8,251
2026,buzelma01,Matas Buzelis,CHI,PF,19,529,17.1,7.2,1.8,0.9,1.8,2.5,3.7,0.455,0.349,0.53,12.6,0.365,0.43,0.349,0.967,0.08,0.0,0.0,0.0,93.0,7.0,4.0,67
